OrtsID;Ortsname;GebietsID
14;"Antigua";"6"
4225;"Hog John Bay";"6"
4226;"Bolans";"6"
4227;"St. John's";"6"
4228;"Dickenson Bay";"6"
4229;"Hawksbill";"6"
4230;"Dian Bay";"6"
4231;"Mamora Bay";"6"
4232;"Deep Bay";"6"
7002;"Carlisle Bay";"6"
7003;"Galley Bay";"6"
7004;"Jolly Beach";"6"
7005;"Long Bay";"6"
7006;"Long Island / Antigua";"6"
7007;"Old Road";"6"
7008;"Runaway Bay";"6"
7009;"Soldier's Bay";"6"
11506;"Ostküste";"6"
18678;"English Harbour";"6"
18679;"St. Philips";"6"
20154;"Hermitage Bay";"6"
22799;"Westküste";"6"
22800;"Südostküste";"6"
24046;"Falmouth";"6"
27540;"Valley Church";"6"
27541;"Five Islands";"6"
27542;"Jumby Bay Island";"6"
32581;"Hodges Bay";"6"
36684;"Curtain Bluff";"6"
17;"Cable Beach";"8"
18;"Freeport City";"8"
19;"Nassau";"8"
20;"Paradise Island";"8"
1211;"Long Island / Bahamas";"8"
1212;"Abaco Island";"8"
1213;"Grace Bay";"8"
1373;"San Salvador";"8"
1378;"Eleuthera";"8"
1404;"Cat Island";"8"
1405;"Harbour Island";"8"
1406;"New Providence";"8"
1543;"Grand Bahama";"8"
1747;"Out Island";"8"
3621;"Columbus Isle";"8"
7011;"Andros";"8"
7012;"Gambier - Love Beach";"8"
7013;"Great Exuma";"8"
7014;"Green Turtle Cay";"8"
7358;"Freetown";"8"
7359;"Lucaya";"8"
9744;"Marsh Harbour";"8"
11430;"Bahamas";"8"
14116;"Emerald Bay";"8"
14775;"Berry Islands";"8"
16767;"Kamalame Cay";"8"
22345;"Dunsmore";"8"
22700;"Governors Harbour";"8"
22706;"Grand Bahama Island";"8"
22728;"Great Guana Cay";"8"
22733;"Gregory Town";"8"
24441;"Baileys Bay";"8"
24588;"Bimini Islands";"8"
32453;"Fowl Cay";"8"
32695;"Treasure Cay";"8"
21;"Barbados";"9"
3289;"Christ Church";"9"
3290;"St. James";"9"
3622;"Westküste";"9"
3623;"Barbados/Südküste";"9"
4633;"St. Peter";"9"
4634;"St. Lawrence";"9"
4635;"Hastings";"9"
7015;"Dover";"9"
7016;"Holetown";"9"
7017;"Oistins";"9"
7018;"Ostküste";"9"
7019;"Silver Sands";"9"
7020;"St. John";"9"
